epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,99396.5,0.93644,1.42728,0.95866,0.01608,0.83316,0.78705,0.77984,0.83118,0.64665,0.78722,0.78005,0.8304,0.62917,0.57318,0.8878,0.4905,0.0147,0,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
66,100390,0.93451,1.42526,0.94747,0.016,0.81991,0.78718,0.77744,0.83009,0.64484,0.78736,0.77765,0.82928,0.62815,0.57078,0.88681,0.49522,0.01461,0,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
67,101384,0.93703,1.41857,0.94106,0.01604,0.81927,0.80725,0.76554,0.83212,0.64578,0.80743,0.76575,0.83134,0.629,0.57001,0.88647,0.49385,0.0146,0,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
68,102381,0.93275,1.41796,0.93681,0.01604,0.80527,0.80184,0.76905,0.83366,0.64635,0.80201,0.76926,0.8329,0.62992,0.56887,0.88604,0.4932,0.01458,0,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252
69,103378,0.93352,1.42184,0.94635,0.016,0.81186,0.77998,0.77776,0.8325,0.6463,0.78015,0.77797,0.83167,0.63034,0.56568,0.88512,0.49631,0.01449,0,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
70,104374,0.93553,1.42601,0.93935,0.01604,0.81116,0.79831,0.76866,0.83767,0.65017,0.79849,0.76888,0.83683,0.63469,0.56374,0.88439,0.49625,0.01444,0,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625
71,105367,0.93183,1.41312,0.92461,0.01594,0.79352,0.80088,0.76606,0.83784,0.64564,0.80106,0.76627,0.83702,0.63515,0.56468,0.88464,0.49105,0.01445,0,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
72,106362,0.92897,1.41528,0.92662,0.01584,0.78493,0.77425,0.787,0.83424,0.64758,0.77685,0.79002,0.83552,0.6347,0.56316,0.88366,0.49599,0.0144,0,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277
73,107358,0.93026,1.41114,0.92347,0.01591,0.78335,0.78194,0.76992,0.83506,0.6501,0.78461,0.77293,0.83665,0.63609,0.56299,0.88329,0.4952,0.01438,0,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
74,108353,0.91993,1.40077,0.91583,0.01573,0.77445,0.78246,0.76402,0.83654,0.65137,0.78624,0.76364,0.83814,0.63754,0.56248,0.88389,0.49235,0.01436,0,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087
75,109347,0.92904,1.4175,0.9174,0.01596,0.76901,0.75948,0.78948,0.83606,0.6512,0.76202,0.7925,0.83739,0.63616,0.56238,0.88377,0.4903,0.01435,0,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
76,110342,0.92329,1.41173,0.9175,0.01577,0.77773,0.77169,0.77989,0.83577,0.65233,0.77424,0.7829,0.83714,0.63641,0.56191,0.8837,0.49172,0.01434,0,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
77,111338,0.92516,1.40527,0.91262,0.0158,0.77288,0.78277,0.7674,0.83676,0.65383,0.78533,0.77021,0.83814,0.63672,0.56186,0.88403,0.49131,0.01434,0,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
78,112331,0.91483,1.39784,0.89822,0.0156,0.74807,0.77051,0.78088,0.83473,0.65235,0.77272,0.78185,0.83627,0.63549,0.56129,0.88388,0.48772,0.01432,0,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997
79,113328,0.91639,1.39978,0.90054,0.01565,0.75673,0.75591,0.78939,0.83503,0.65258,0.75849,0.79241,0.83652,0.63454,0.56101,0.88362,0.48718,0.01432,0,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
80,114324,0.91834,1.40452,0.90554,0.01573,0.76153,0.77216,0.78525,0.83805,0.65492,0.7748,0.78827,0.83959,0.63687,0.55988,0.88317,0.48605,0.01429,0,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339
81,115320,0.91387,1.39213,0.8869,0.01562,0.73311,0.76967,0.78316,0.84066,0.65632,0.77227,0.78618,0.84217,0.63899,0.55872,0.8827,0.4881,0.01426,0,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
82,116315,0.91073,1.39034,0.89142,0.0155,0.74357,0.76252,0.7835,0.84194,0.65784,0.7652,0.78555,0.84337,0.64256,0.55777,0.88281,0.48751,0.01423,0,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055
83,117310,0.91256,1.38812,0.88203,0.01559,0.73055,0.77536,0.78645,0.84561,0.66001,0.77554,0.78667,0.84451,0.64544,0.55628,0.88227,0.48376,0.01418,0,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
84,118303,0.91368,1.39609,0.89111,0.01551,0.7395,0.77134,0.78681,0.84597,0.66355,0.77151,0.78702,0.84474,0.64643,0.55507,0.88275,0.48156,0.01416,0,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617
85,119298,0.90312,1.38738,0.87785,0.01532,0.72289,0.77753,0.78866,0.84593,0.66362,0.7777,0.78888,0.84453,0.64633,0.5537,0.88286,0.48049,0.01412,0,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
86,120292,0.90902,1.38336,0.8655,0.01544,0.71478,0.78883,0.7898,0.84975,0.66615,0.78901,0.79001,0.84821,0.64772,0.55247,0.88146,0.47784,0.01408,0,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
87,121285,0.90511,1.38037,0.87141,0.01533,0.71142,0.78724,0.78637,0.84904,0.66722,0.78741,0.78658,0.84744,0.64789,0.55255,0.88133,0.47561,0.01408,0,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
88,122282,0.90116,1.38158,0.86885,0.01531,0.71267,0.77582,0.78441,0.84892,0.66612,0.776,0.78463,0.84722,0.64529,0.55162,0.88115,0.47368,0.01405,0,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538
89,123275,0.89946,1.37376,0.87317,0.01533,0.71304,0.77975,0.79728,0.85096,0.67042,0.77992,0.79749,0.84928,0.65106,0.54952,0.88075,0.47556,0.014,0,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
90,124271,0.8982,1.37293,0.85809,0.01523,0.69899,0.78033,0.7962,0.85093,0.66922,0.7805,0.79642,0.84902,0.65201,0.55025,0.88264,0.46995,0.01404,0,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105
91,125265,0.89412,1.36517,0.85178,0.01518,0.69074,0.76912,0.79743,0.85018,0.66993,0.76929,0.79764,0.84829,0.64761,0.5491,0.88241,0.47143,0.01401,0,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
92,126259,0.89826,1.37151,0.84507,0.01533,0.68552,0.78235,0.80082,0.8493,0.67301,0.78269,0.80028,0.84753,0.64919,0.54863,0.88238,0.46748,0.014,0,0.0172424,0.00574746,0.0172424,0.00574746,0.0172424,0.00574746,0.0172424,0.00574746
93,127252,0.89508,1.36401,0.84459,0.01518,0.67991,0.7872,0.80193,0.849,0.6732,0.78737,0.80215,0.84728,0.6502,0.54839,0.8835,0.46301,0.014,0,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
